iter	Passed	Remaining
401	6716	9991
402	6719	9953
403	6723	9918
404	6728	9884
405	6730	9846
406	6732	9809
407	6734	9772
408	6738	9736
409	6753	9718
410	6759	9686
411	6761	9650
412	6764	9614
413	6820	9654
414	6822	9617
415	6824	9581
416	6827	9545
417	6829	9509
418	6836	9480
419	6840	9446
420	6845	9414
421	6860	9397
422	6865	9364
423	6867	9329
424	6869	9294
425	6906	9305
426	6909	9272
427	6912	9238
428	6914	9203
429	6919	9171
430	6921	9137
431	6923	9103
432	6936	9083
433	6944	9056
434	6946	9022
435	6948	8988
436	6950	8954
437	6952	8920
438	6989	8931
439	6991	8897
440	6994	8865
441	7006	8845
442	7008	8812
443	7011	8780
444	7013	8747
445	7016	8715
446	7018	8682
447	7021	8651
448	7023	8619
449	7025	8587
450	7027	8555
451	7187	8713
452	7189	8680
453	7191	8648
454	7196	8619
455	7204	8594
456	7206	8562
457	7208	8530
458	7210	8498
459	7212	8467
460	7215	8436
461	7217	8405
462	7226	8380
463	7228	8350
464	7301	8400
465	7303	8369
466	7305	8338
467	7308	8308
468	7320	8288
469	7328	8264
470	7331	8233
471	7333	8203
472	7335	8173
473	7337	8142
474	7340	8112
475	7342	8082
476	7345	8053
477	7347	8023
478	7450	8103
479	7474	8096
480	7477	8068
481	7479	8037
482	7481	8008
483	7485	7980
484	7488	7951
485	7490	7922
486	7529	7931
487	7531	7902
488	7534	7872
489	7536	7843
490	7539	7815
491	7541	7787
492	7545	7759
493	7548	7731
494	7551	7704
495	7554	7675
496	7556	7647
497	7558	7619
498	7561	7591
499	7586	7586
500	7588	7558
501	7590	7530
502	7592	7502
503	7595	7474
504	7599	7448
505	7601	7421
506	7603	7393
507	7605	7366
508	7609	7339
509	7611	7312
510	7614	7286
511	7616	7259
512	7634	7247
513	7637	7221
514	7639	7194
515	7651	7177
516	7653	7150
517	7656	7123
518	7657	7097
519	7661	7071
520	7663	7045
521	7665	7019
522	7667	6992
523	7672	6969
524	7674	6943
525	7679	6920
526	7681	6894
527	7731	6911
528	7751	6901
529	7754	6876
530	7756	6850
531	7759	6826
532	7761	6800
533	7763	6774
534	7765	6749
535	7768	6724
536	7773	6702
537	7776	6677
538	7778	6652
539	7780	6627
540	7782	6602
541	7824	6611
542	7826	6587
543	7829	6562
544	7833	6540
545	7835	6515
546	7838	6491
547	7840	6467
548	7843	6443
549	7845	6419
550	7847	6394
551	7849	6370
552	7852	6347
553	7896	6356
554	7933	6360
555	7935	6336
556	7942	6317
557	7945	6293
558	7947	6269
559	7950	6246
560	7964	6232
561	7967	6209
562	7970	6186
563	7972	6163
564	7975	6140
565	7977	6116
566	7979	6093
567	7981	6070
568	7984	6047
569	7986	6024
570	7991	6003
571	7993	5980
572	7995	5958
573	7997	5935
574	7999	5912
575	8003	5891
576	8006	5869
577	8008	5846
578	8011	5825
579	8013	5802
580	8042	5799
581	8045	5778
582	8047	5756
583	8049	5734
584	8052	5712
585	8054	5690
586	8056	5668
587	8059	5647
588	8061	5625
589	8079	5614
590	8102	5607
591	8104	5585
592	8124	5575
593	8161	5578
594	8164	5557
595	8166	5535
596	8221	5549
597	8252	5548
598	8269	5536
599	8272	5514
600	8274	5493
601	8277	5472
602	8279	5451
603	8282	5430
604	8284	5408
605	8291	5391
606	8294	5369
607	8297	5349
608	8299	5328
609	8364	5347
610	8366	5326
611	8368	5305
612	8370	5284
613	8373	5264
614	8375	5243
615	8378	5222
616	8383	5203
617	8385	5183
618	8390	5164
619	8394	5145
620	8398	5125
621	8433	5124
622	8436	5105
623	8438	5084
624	8440	5064
625	8442	5044
626	8445	5024
627	8448	5004
628	8452	4985
629	8454	4965
630	8456	4945
631	8459	4925
632	8461	4905
633	8472	4891
634	8515	4894
635	8517	4874
636	8519	4854
637	8521	4834
638	8523	4815
639	8525	4795
640	8541	4783
641	8553	4769
642	8556	4750
643	8582	4744
644	8592	4729
645	8594	4709
646	8598	4691
647	8601	4672
648	8610	4656
649	8615	4639
650	8618	4620
651	8620	4601
652	8623	4582
653	8625	4563
654	8628	4544
655	8631	4526
656	8641	4511
657	8649	4495
658	8651	4476
659	8670	4466
660	8674	4448
661	8681	4432
662	8685	4414
663	8687	4396
664	8698	4381
665	8712	4369
666	8754	4370
667	8763	4355
668	8765	4336
669	8778	4323
670	8781	4305
671	8783	4287
672	8785	4268
673	8788	4250
674	8790	4232
675	8792	4214
676	8794	4195
677	8796	4177
678	8798	4159
679	8818	4149
680	8828	4135
681	8831	4117
682	8836	4101
683	8839	4083
684	8849	4069
685	8855	4053
686	8861	4037
687	8863	4019
688	8868	4002
689	8871	3985
690	8874	3968
691	8876	3950
692	8925	3954
693	8930	3937
694	8932	3920
695	8934	3902
696	8936	3884
697	8938	3867
698	8943	3851
699	8945	3833
700	8948	3817
701	8951	3800
702	8953	3782
703	8956	3765
704	8962	3750
705	8965	3733
706	8983	3722
707	8985	3705
708	8987	3688
709	8989	3671
710	8991	3654
711	8993	3637
712	8996	3621
713	8998	3604
714	9000	3587
715	9012	3574
716	9014	3558
717	9018	3542
718	9021	3525
719	9053	3520
720	9055	3504
721	9057	3487
722	9060	3471
723	9062	3454
724	9073	3441
725	9076	3425
726	9081	3410
727	9084	3394
728	9086	3377
729	9099	3365
730	9106	3351
731	9108	3334
732	9110	3318
733	9124	3306
734	9127	3290
735	9129	3274
736	9131	3258
737	9133	3242
738	9151	3232
739	9154	3216
740	9157	3200
741	9159	3184
742	9162	3169
743	9165	3153
744	9167	3137
745	9202	3133
746	9204	3117
747	9206	3101
748	9209	3086
749	9211	3070
750	9216	3055
751	9219	3040
752	9221	3024
753	9238	3013
754	9240	2998
755	9243	2983
756	9260	2972
757	9264	2957
758	9290	2949
759	9297	2936
760	9309	2923
761	9311	2908
762	9315	2893
763	9317	2878
764	9319	2862
765	9321	2847
766	9324	2832
767	9327	2817
768	9330	2802
769	9333	2787
770	9355	2778
771	9358	2763
772	9360	2748
773	9362	2733
774	9365	2718
775	9367	2703
776	9371	2689
777	9374	2674
778	9390	2664
779	9408	2653
780	9411	2638
781	9465	2638
782	9470	2624
783	9487	2614
784	9490	2599
785	9500	2586
786	9504	2572
787	9507	2557
788	9509	2543
789	9511	2528
790	9513	2513
791	9532	2503
792	9550	2492
793	9552	2478
794	9555	2464
795	9557	2449
796	9576	2439
797	9579	2424
798	9581	2410
799	9584	2396
800	9586	2381
801	9588	2367
802	9602	2355
803	9605	2341
804	9607	2327
805	9609	2312
806	9623	2301
807	9627	2287
808	9629	2273
809	9632	2259
810	9634	2245
811	9648	2233
812	9666	2223
813	9668	2209
814	9670	2195
815	9672	2181
816	9674	2167
817	9687	2155
818	9713	2146
819	9731	2136
820	9733	2122
821	9735	2108
822	9737	2094
823	9754	2083
824	9757	2069
825	9759	2055
826	9761	2041
827	9764	2028
828	9766	2014
829	9768	2000
830	9770	1987
831	9773	1973
832	9778	1960
833	9781	1946
834	9783	1933
835	9787	1919
836	9789	1906
837	9798	1894
838	9800	1880
839	9802	1867
840	9806	1853
841	9810	1840
842	9811	1827
843	9828	1816
844	9834	1803
845	9875	1797
846	9880	1784
847	9899	1774
848	9919	1764
849	9921	1750
850	9940	1740
851	9942	1727
852	9945	1713
853	9947	1700
854	9949	1687
855	9968	1676
856	9971	1663
857	9989	1653
858	9994	1640
859	9997	1627
860	10005	1615
861	10007	1602
862	10012	1589
863	10023	1577
864	10035	1566
865	10038	1553
866	10040	1540
867	10052	1528
868	10056	1515
869	10058	1502
870	10060	1490
871	10062	1477
872	10075	1465
873	10078	1452
874	10082	1440
875	10084	1427
876	10091	1415
877	10112	1405
878	10116	1392
879	10119	1379
880	10122	1367
881	10124	1354
882	10127	1341
883	10129	1329
884	10131	1316
885	10134	1303
886	10141	1292
887	10143	1279
888	10147	1267
889	10150	1254
890	10177	1245
891	10182	1232
892	10193	1221
893	10197	1209
894	10199	1196
895	10201	1184
896	10203	1171
897	10205	1159
898	10208	1146
899	10211	1134
900	10214	1122
901	10216	1110
902	10218	1097
903	10230	1086
904	10233	1074
905	10235	1061
906	10237	1049
907	10242	1037
908	10245	1025
909	10247	1013
910	10249	1001
911	10251	989
912	10253	977
913	10256	965
914	10259	953
915	10262	941
916	10264	929
917	10267	917
918	10269	905
919	10286	894
920	10288	882
921	10290	870
922	10292	858
923	10294	846
924	10296	834
925	10300	823
926	10320	812
927	10324	801
928	10326	789
929	10328	777
930	10331	765
931	10350	755
932	10352	743
933	10369	732
934	10371	720
935	10374	709
936	10379	697
937	10381	686
938	10383	674
939	10406	664
940	10412	652
941	10423	641
942	10425	630
943	10440	619
944	10451	608
945	10467	597
946	10488	587
947	10512	576
948	10516	565
949	10518	553
950	10522	542
951	10526	530
952	10531	519
953	10533	507
954	10536	496
955	10538	485
956	10553	474
957	10555	462
958	10557	451
959	10571	440
960	10594	429
961	10597	418
962	10599	407
963	10601	395
964	10604	384
965	10642	374
966	10645	363
967	10664	352
968	10666	341
969	10668	329
970	10669	318
971	10679	307
972	10694	296
973	10771	287
974	10773	276
975	10775	264
976	10778	253
977	10783	242
978	10785	231
979	10789	220
980	10838	209
981	10840	198
982	10842	187
983	10845	176
984	10848	165
985	10857	154
986	10870	143
987	10873	132
988	10878	120
989	10895	110
990	10898	98
991	10901	87
992	10903	76
993	10908	65
994	10911	54
995	10916	43
996	10921	32
997	10924	21
998	10926	10
999	10961	0
