iter	RMSE
506	3.891595109
507	3.887347504
508	3.885472931
509	3.881033489
510	3.879393937
511	3.877779483
512	3.87751106
513	3.873436364
514	3.870919764
515	3.870349736
516	3.86956661
517	3.867879356
518	3.865822603
519	3.865739123
520	3.86242674
521	3.859077324
522	3.854938555
523	3.85386154
524	3.850304502
525	3.848066727
526	3.846686191
527	3.845454752
528	3.845331462
529	3.840868386
530	3.838501091
531	3.835124429
532	3.831345493
533	3.828523687
534	3.824501857
535	3.822090128
536	3.819141151
537	3.816281599
538	3.813908067
539	3.8126065
540	3.810634899
541	3.806090473
542	3.803874203
543	3.802457848
544	3.799081954
545	3.796341679
546	3.793688869
547	3.791955526
548	3.791885465
549	3.790495559
550	3.788338013
551	3.787064708
552	3.78686157
553	3.782054163
554	3.77800342
555	3.776150565
556	3.773657781
557	3.770814857
558	3.768414645
559	3.766793235
560	3.764105513
561	3.7624014
562	3.759340677
563	3.756892327
564	3.756096325
565	3.753550218
566	3.751897268
567	3.749999823
568	3.745966129
569	3.742786256
570	3.739633323
571	3.736429598
572	3.735653913
573	3.733631166
574	3.732755011
575	3.730528005
576	3.726422609
577	3.7227515
578	3.721758142
579	3.719921012
580	3.718390566
581	3.718049039
582	3.715722897
583	3.713920688
584	3.710254134
585	3.708163993
586	3.703764131
587	3.702107934
588	3.698904411
589	3.698674529
590	3.694050388
591	3.690505947
592	3.69014185
593	3.689224818
594	3.686696724
595	3.682739962
596	3.6807944
597	3.679156746
598	3.675486942
599	3.672574895
600	3.670727037
601	3.667316702
602	3.663532551
603	3.660465963
604	3.657349572
605	3.656867088
606	3.653960484
607	3.653775064
608	3.649866455
609	3.646440916
610	3.646102907
611	3.643355196
612	3.640465326
613	3.637548439
614	3.63476805
615	3.634439568
616	3.630834605
617	3.628313773
618	3.626700398
619	3.624239722
620	3.62209341
621	3.62024111
622	3.618930033
623	3.615704119
624	3.612659395
625	3.610683877
626	3.608977567
627	3.607382391
628	3.604539496
629	3.601573623
630	3.600433461
631	3.597455219
632	3.595946683
633	3.594629305
634	3.592830869
635	3.591968145
636	3.591799457
637	3.591073269
638	3.589726341
639	3.586161838
640	3.582297728
641	3.581480555
642	3.578366991
643	3.578270503
644	3.57653997
645	3.576418431
646	3.574493426
647	3.573218419
648	3.570388464
649	3.56780762
650	3.565824565
651	3.564052808
652	3.563199827
653	3.56176315
654	3.561485747
655	3.557481007
656	3.556437358
657	3.555427639
658	3.552853762
659	3.551763515
660	3.548580242
661	3.544597886
662	3.54439432
663	3.54405128
664	3.543142974
665	3.542158787
666	3.541189502
667	3.539904301
668	3.537711878
669	3.537667057
670	3.535400264
671	3.535285497
672	3.533478674
673	3.530514606
674	3.529281424
675	3.528636116
676	3.52675671
677	3.523232616
678	3.520013212
679	3.518742945
680	3.516669789
681	3.515298932
682	3.512032395
683	3.509942406
684	3.507310948
685	3.504421551
686	3.501258387
687	3.497260556
688	3.496311413
689	3.494495671
690	3.491048663
691	3.487772456
692	3.486585122
693	3.484157416
694	3.481754983
695	3.479357934
696	3.47670874
697	3.475567724
698	3.472790878
699	3.469727166
700	3.468282509
701	3.466564648
702	3.465139825
703	3.46503156
704	3.462774007
705	3.461164125
706	3.457853068
707	3.455254286
708	3.453809537
709	3.450733115
710	3.448851349
711	3.447810933
712	3.444159076
713	3.443411935
714	3.440548691
715	3.438360599
716	3.43744347
717	3.437020268
718	3.434709521
719	3.433187928
720	3.430186738
721	3.428100313
722	3.426564486
723	3.423927445
724	3.423032597
725	3.419959499
726	3.415421743
727	3.413687807
728	3.412030411
729	3.409850805
730	3.406888687
731	3.404060644
732	3.403071221
733	3.401638488
734	3.400708111
735	3.399730178
736	3.397214502
737	3.393613247
738	3.390893599
739	3.389491479
740	3.387730549
741	3.386895708
742	3.38279391
743	3.382416359
744	3.379728891
745	3.37738752
746	3.375971208
747	3.374567128
748	3.373057701
749	3.371416102
750	3.369520935
751	3.367174001
752	3.365047129
753	3.363784134
754	3.362290261
755	3.359711098
756	3.35812307
757	3.356054193
758	3.353108609
759	3.350581937
760	3.349810594
761	3.348489445
762	3.346926574
763	3.34413651
764	3.343761116
765	3.342478454
766	3.341332864
767	3.338344683
768	3.336937095
769	3.336718017
770	3.333233798
771	3.33153197
772	3.328986026
773	3.327221548
774	3.32599279
775	3.323620978
776	3.323524254
777	3.321824287
778	3.320959908
779	3.319801746
780	3.316674681
781	3.312903038
782	3.310686915
783	3.309626231
784	3.30863886
785	3.306375561
786	3.302931218
787	3.301097711
788	3.299254647
789	3.296056346
790	3.295361197
791	3.294020029
792	3.291248149
793	3.289977695
794	3.28694832
795	3.286124398
796	3.284844585
797	3.28410311
798	3.281810429
799	3.279458379
800	3.275778546
801	3.273020621
802	3.271218281
803	3.269416764
804	3.267019472
805	3.265972546
806	3.263914946
807	3.263595998
808	3.262630937
809	3.261092592
810	3.259840893
811	3.25925676
812	3.257339516
813	3.25579813
814	3.254438247
815	3.251927831
816	3.251318016
817	3.248288289
818	3.248218401
819	3.24701917
820	3.245143906
821	3.242633382
822	3.241021172
823	3.239825493
824	3.237971886
825	3.23779512
826	3.237077395
827	3.234366321
828	3.233320266
829	3.233256626
830	3.232415355
831	3.231694067
832	3.229044174
833	3.225384519
834	3.224985734
835	3.223028048
836	3.222933576
837	3.220115942
838	3.21849264
839	3.216451313
840	3.21447145
841	3.213503182
842	3.210563088
843	3.209046479
844	3.207471697
845	3.206513062
846	3.20435874
847	3.202914336
848	3.20183499
849	3.200690415
850	3.198612239
851	3.196362772
852	3.195210436
853	3.195049237
854	3.192747133
855	3.191296414
856	3.187896581
857	3.185682694
858	3.184680719
859	3.184119047
860	3.182523559
861	3.181184154
862	3.179672577
863	3.178804061
864	3.17525364
865	3.172861854
866	3.171339028
867	3.16948916
868	3.166467742
869	3.16563468
870	3.162669331
871	3.161416469
872	3.1601277
873	3.158311587
874	3.155516561
875	3.154108608
876	3.15244052
877	3.15097158
878	3.149319716
879	3.149049687
880	3.148102396
881	3.147237049
882	3.145843616
883	3.142566832
884	3.141061485
885	3.138789853
886	3.137896783
887	3.136449555
888	3.135995406
889	3.135905792
890	3.135771887
891	3.134096714
892	3.133217114
893	3.132461195
894	3.131350949
895	3.129787166
896	3.128397307
897	3.126065026
898	3.125003144
899	3.122812225
900	3.120685273
901	3.119432825
902	3.117191235
903	3.116414669
904	3.11537839
905	3.113507402
906	3.111565597
907	3.108549204
908	3.107572105
909	3.106457018
910	3.105086417
911	3.104097677
912	3.102363252
913	3.102003776
914	3.099174982
915	3.09747266
916	3.095424616
917	3.09422213
918	3.09283388
919	3.091667687
920	3.090319162
921	3.089031207
922	3.086588496
923	3.085145059
924	3.083184754
925	3.081860549
926	3.080338173
927	3.076692057
928	3.075232628
929	3.07486811
930	3.073968139
931	3.072791842
932	3.071766042
933	3.07021952
934	3.067407053
935	3.065624042
936	3.064937355
937	3.063364666
938	3.063130682
939	3.060922879
940	3.060547281
941	3.060413889
942	3.058921321
943	3.058215078
944	3.057940929
945	3.055636058
946	3.055552885
947	3.054889873
948	3.050853629
949	3.04877983
950	3.0476935
951	3.045627675
952	3.043718871
953	3.042167255
954	3.04127252
955	3.038594068
956	3.036831819
957	3.034038555
958	3.032437906
959	3.030333898
960	3.028730734
961	3.027057474
962	3.025920981
963	3.024960476
964	3.023849883
965	3.023151634
966	3.021001899
967	3.019861386
968	3.017761824
969	3.016218481
970	3.015058895
971	3.012985121
972	3.012860887
973	3.012201784
974	3.009871938
975	3.008869893
976	3.007382951
977	3.004367485
978	3.004231169
979	3.003438214
980	3.001438611
981	3.000101421
982	2.999458811
983	2.997448329
984	2.994306431
985	2.992319164
986	2.990835086
987	2.986888841
988	2.984962604
989	2.983064685
990	2.981855638
991	2.981054371
992	2.980047957
993	2.977832663
994	2.976077638
995	2.97568833
996	2.974023858
997	2.973518241
998	2.970851594
999	2.967778661
